IID1	IID2	PI_HAT
178_CC_ORW_CHN_M	209_CC_ORW_CHN_F	0.4671
178_CC_ORW_CHN_M	210_CC_ORW_CHN_F	0.4668
178_CC_ORW_CHN_M	239_CC_ORW_CHN_F	0.4420
179_CB_GBC_CHN_M	211_CB_GBC_CHN_F	0.4858
179_CB_GBC_CHN_M	213_CB_GBC_CHN_F	0.9202
179_CB_GBC_CHN_M	214_CB_GBC_CHN_F	0.7172
179_CB_GBC_CHN_M	216_CB_GBC_CHN_F	0.8444
179_CB_GBC_CHN_M	228_CB_GBC_CHN_F	0.8875
180_CB_DRD_CHN_M	181_CB_GBC_CHN_M	0.3566
180_CB_DRD_CHN_M	211_CB_GBC_CHN_F	0.3762
180_CB_DRD_CHN_M	212_CB_GBC_CHN_F	0.4815
180_CB_DRD_CHN_M	228_CB_GBC_CHN_F	0.1851
181_CB_GBC_CHN_M	211_CB_GBC_CHN_F	0.4546
181_CB_GBC_CHN_M	212_CB_GBC_CHN_F	0.8112
181_CB_GBC_CHN_M	214_CB_GBC_CHN_F	0.2759
184_CC_IBS_CHN_F	227_CC_IBS_CHN_M	0.2308
187_CC_ORW_CHN_F	188_CC_ORW_CHN_F	0.4728
187_CC_ORW_CHN_F	190_CC_ORW_CHN_F	0.5740
187_CC_ORW_CHN_F	192_CC_ORW_CHN_F	0.4739
187_CC_ORW_CHN_F	234_CC_ORW_CHN_M	0.3600
188_CC_ORW_CHN_F	190_CC_ORW_CHN_F	0.8256
188_CC_ORW_CHN_F	191_CC_ORW_CHN_F	0.3284
188_CC_ORW_CHN_F	192_CC_ORW_CHN_F	0.9359
188_CC_ORW_CHN_F	234_CC_ORW_CHN_M	0.2324
190_CC_ORW_CHN_F	191_CC_ORW_CHN_F	0.2172
190_CC_ORW_CHN_F	192_CC_ORW_CHN_F	0.8241
190_CC_ORW_CHN_F	234_CC_ORW_CHN_M	0.2446
191_CC_ORW_CHN_F	192_CC_ORW_CHN_F	0.3277
191_CC_ORW_CHN_F	234_CC_ORW_CHN_M	0.4573
192_CC_ORW_CHN_F	234_CC_ORW_CHN_M	0.2331
193_CC_ORW_CHN_F	239_CC_ORW_CHN_F	0.2154
197_CC_ORW_CHN_F	198_CC_ORW_CHN_F	0.5895
197_CC_ORW_CHN_F	201_CC_ORW_CHN_F	0.4277
197_CC_ORW_CHN_F	203_CC_ORW_CHN_F	0.5251
197_CC_ORW_CHN_F	237_CC_ORW_CHN_F	0.6222
197_CC_ORW_CHN_F	241_CC_ORW_CHN_M	0.9174
198_CC_ORW_CHN_F	201_CC_ORW_CHN_F	0.5895
198_CC_ORW_CHN_F	203_CC_ORW_CHN_F	0.4331
198_CC_ORW_CHN_F	237_CC_ORW_CHN_F	0.5889
198_CC_ORW_CHN_F	241_CC_ORW_CHN_M	0.5756
200_CC_ORW_CHN_F	235_CC_ORW_CHN_M	0.4747
201_CC_ORW_CHN_F	203_CC_ORW_CHN_F	0.5903
201_CC_ORW_CHN_F	237_CC_ORW_CHN_F	0.5921
